match_id,utc_date,status,competition,season_start,season_end,home_team,away_team,score_home,score_away
535103,2025-07-26 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,RB Bragantino,3.0,1.0
535104,2025-07-26 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,Santos FC,2.0,2.0
535097,2025-07-27 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,Grêmio FBPA,1.0,0.0
535098,2025-07-27 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,Fluminense FC,3.0,1.0
535100,2025-07-27 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,Ceará SC,1.0,2.0
535101,2025-07-27 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,CR Vasco da Gama,1.0,1.0
535102,2025-07-27 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,EC Juventude,3.0,0.0
535095,2025-07-27 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,CA Mineiro,1.0,0.0
535071,2025-07-29 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,Fortaleza EC,2.0,1.0
535114,2025-08-02 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,EC Bahia,0.0,0.0
535109,2025-08-02 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,CR Vasco da Gama,3.0,2.0
535105,2025-08-03 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,Grêmio FBPA,1.0,0.0
535106,2025-08-03 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,Cruzeiro EC,0.0,2.0
535107,2025-08-03 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,Fortaleza EC,1.0,1.0
535110,2025-08-03 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,RB Bragantino,2.0,1.0
