"data";"valor"
"07/07/2020";"0,008442"
"08/07/2020";"0,008442"
"09/07/2020";"0,008442"
"10/07/2020";"0,008442"
"13/07/2020";"0,008442"
"14/07/2020";"0,008442"
"15/07/2020";"0,008442"
"16/07/2020";"0,008442"
"17/07/2020";"0,008442"
"20/07/2020";"0,008442"
"21/07/2020";"0,008442"
"22/07/2020";"0,008442"
"23/07/2020";"0,008442"
"24/07/2020";"0,008442"
"27/07/2020";"0,008442"
"28/07/2020";"0,008442"
"29/07/2020";"0,008442"
"30/07/2020";"0,008442"
"31/07/2020";"0,008442"
"03/08/2020";"0,008442"
"04/08/2020";"0,008442"
"05/08/2020";"0,008442"
"06/08/2020";"0,007469"
"07/08/2020";"0,007469"
"10/08/2020";"0,007469"
"11/08/2020";"0,007469"
"12/08/2020";"0,007469"
"13/08/2020";"0,007469"
"14/08/2020";"0,007469"
"17/08/2020";"0,007469"
"18/08/2020";"0,007469"
"19/08/2020";"0,007469"
"20/08/2020";"0,007469"
"21/08/2020";"0,007469"
"24/08/2020";"0,007469"
"25/08/2020";"0,007469"
"26/08/2020";"0,007469"
"27/08/2020";"0,007469"
"28/08/2020";"0,007469"
"31/08/2020";"0,007469"
"01/09/2020";"0,007469"
"02/09/2020";"0,007469"
"03/09/2020";"0,007469"
"04/09/2020";"0,007469"
"08/09/2020";"0,007469"
"09/09/2020";"0,007469"
"10/09/2020";"0,007469"
"11/09/2020";"0,007469"
"14/09/2020";"0,007469"
"15/09/2020";"0,007469"
"16/09/2020";"0,007469"
"17/09/2020";"0,007469"
"18/09/2020";"0,007469"
"21/09/2020";"0,007469"
"22/09/2020";"0,007469"
"23/09/2020";"0,007469"
"24/09/2020";"0,007469"
"25/09/2020";"0,007469"
"28/09/2020";"0,007469"
"29/09/2020";"0,007469"
"30/09/2020";"0,007469"
"01/10/2020";"0,007469"
"02/10/2020";"0,007469"
"05/10/2020";"0,007469"
"06/10/2020";"0,007469"
"07/10/2020";"0,007469"
"08/10/2020";"0,007469"
"09/10/2020";"0,007469"
